,term,x,y,ks
166,neighbour,29.130014,-7.677708,0
167,pursue,12.337972,9.042913,0
168,threaten,20.026611,-3.239498,0
169,evil,-15.563499,-1.1898718,1
170,cry,-11.340709,-1.3995305,1
171,allah,-1.527233,-1.5798683,1
172,piss,22.171547,-1.5040128,1
173,support,-11.032014,-11.899321,0
174,idiot,-14.2859535,7.0716896,1
175,corner,-6.4178805,-5.605619,1
176,theirs,12.12548,14.525361,1
177,step,0.54060966,-7.0365376,0
178,neocon,-10.84257,2.0067008,1
179,blatantly,-23.848738,-0.4934445,1
180,intervene,19.807667,8.5822315,0
181,donbass,-5.4501824,-24.827793,3
182,goverment,-9.097715,19.83035,2
183,motive,5.8127756,2.1287222,1
184,escalate,21.804644,5.448917,0
185,opportunistic,0.40843442,-0.18869415,1
186,precisely,4.6625085,-6.760907,1
187,fear,22.058691,-5.3034196,0
188,indirectly,3.1380215,-2.2717347,0
189,condone,10.202012,-1.7525908,1
190,unworthi,-0.3707899,-1.9907206,1
191,presidency,-2.3471029,17.570871,2
192,intimidate,-2.460875,3.6902475,1
193,happy,24.506775,-3.920683,1
194,resign,-4.725688,14.899323,2
195,nato,8.6838255,5.025898,0
196,gamble,0.95068395,-5.662064,1
197,narrative,-23.337223,-5.677159,1
198,legitimize,11.069964,-2.8992617,1
199,pr,-9.4881525,-7.4913173,1
200,instal,-17.029408,20.788555,2
201,mastermind,-0.76537836,-0.98183256,1
202,ok,-12.515539,-6.1055436,1
203,let,-1.0231636,-10.652116,0
204,knee,-6.556293,-0.62357265,1
205,wait,-5.798337,-8.0398445,1
206,hurt,17.829393,-5.3406,0
207,ready,-3.6446285,-8.36347,0
208,strong,17.49494,-18.576418,0
209,face,6.1276226,15.646504,0
210,dumb,-17.700235,8.48672,1
211,stunt,-8.792465,-7.041455,1
212,fsb,-0.952609,27.424799,2
213,foment,23.857536,8.2982,0
214,bullshit,-21.638714,2.5571923,1
215,crook,-8.75417,10.735466,1
216,denounce,12.886068,-6.4679513,1
217,assassinate,-6.934925,11.874214,1
218,inaction,7.628902,-1.0038111,1
219,keep,-2.351264,-15.394254,0
220,westerner,-15.823558,3.130038,1
221,rightly,2.1968853,0.011626236,1
222,fascist,-12.863217,11.049588,2
223,angry,24.434223,-1.789401,1
224,western,0.96592486,-19.545654,0
225,badly,4.509654,-11.082004,1
226,dnc,-0.93974406,-2.6337917,1
227,fault,-20.905388,-12.405611,1
228,repercussion,9.227978,-13.753104,0
229,government,-9.137405,18.688553,2
230,gop,-0.99491704,16.16428,1
231,rightfully,12.273877,14.443648,1
232,thief,-10.194887,11.829637,1
233,actively,6.3892355,5.365679,0
234,sit,-4.8851066,-5.2027206,1
235,hostile,9.091774,7.513023,0
236,resist,-8.09484,-10.974272,0
237,legitimacy,10.876038,-4.1818495,2
238,simply,1.8288836,-10.035167,0
239,backfire,1.3706071,-4.368009,1
240,believe,-15.447951,-10.057823,1
241,blindly,-14.013925,4.189813,1
242,immediately,-0.8900079,6.5779605,0
243,stand,15.881686,2.3454025,0
244,populace,-4.564682,10.717922,1
245,incompetent,-9.987227,8.865239,1
246,idiotic,-18.762407,3.292777,1
247,repeat,-18.384804,0.7450926,1
248,democratically,-13.728578,18.722067,2
249,provocative,8.688471,1.6942594,1
250,rating,3.4494052,20.931303,1
251,successfully,-3.901507,-10.633151,0
252,imf,3.9200513,9.182002,2
253,maidan,-7.711823,8.139655,3
254,agenda,-23.327797,-5.7371216,1
255,crimean,10.304243,20.017826,3
256,regret,1.3378507,-2.9027948,1
257,current,3.866702,-4.6856813,0
258,truth,-24.227053,2.4055164,1
259,annexation,16.17808,14.6957,3
260,seperatist,-6.0102854,-17.41051,3
261,saber,5.9309645,-2.5009518,1
262,convince,-15.279976,-9.110779,1
263,instigate,23.900063,8.255427,0
264,pressure,10.662941,-14.115218,0
265,candy,-2.9189794,-2.4525468,1
266,actually,2.8084614,-9.064086,1
267,criticize,13.445096,-5.663829,1
268,mock,-7.9504437,4.2904034,1
269,ukrainians,-9.063759,-17.736498,3
270,twist,-18.639582,-0.79508823,1
271,bite,-8.376042,-3.3009913,1
272,appeasement,7.0460224,0.09793102,1
273,shirtless,-4.7237887,-1.9020951,1
274,choice,-1.0527527,-8.294476,1
275,deal,5.46406,-14.172943,0
276,order,-4.67988,-11.463262,0
277,violently,-2.8549013,8.374776,2
278,undermine,13.657211,8.727703,0
279,blame,-20.906937,-12.412327,1
280,orchestrate,24.65145,8.688256,1
281,crisis,7.660336,-15.993537,0
282,reckless,8.321811,-0.16184922,1
283,hey,-12.535684,-5.337819,1
284,approval,3.445241,20.92769,1
285,bend,1.40694,2.961044,1
286,mouth,-10.24392,-3.3610547,1
287,office,-1.7439839,18.751925,2
288,talk,1.1977985,10.947592,1
289,syriza,-0.91089183,-4.488414,1
290,unprovoked,10.34441,0.14930952,1
291,ukranian,-8.281224,-18.5589,3
292,justification,13.788225,-1.0247992,0
293,paranoid,-16.983286,5.0169425,1
294,warn,11.666428,-10.116647,0
295,grip,-2.6510274,-13.4693775,1
296,urge,11.309702,-8.910995,1
297,turkey,5.155588,-20.900263,0
298,sideline,-4.185318,-4.083534,1
299,smart,-17.421625,9.490981,1
300,madman,-3.361113,-0.5694461,1
301,ground,8.073164,-4.310441,0
302,casus,11.371692,0.30013445,0
303,realistically,3.446027,-10.825476,1
304,weaken,14.930706,8.10606,0
305,pretend,-12.814235,-2.740734,1
306,deescalate,2.9527125,-4.4728904,1
307,whine,-11.792646,-2.290857,1
308,succeed,15.562009,7.284988,0
