,term,1
76,rupert,0.39405402541160583
82,murdoch,0.3839956820011139
107,kochs,0.3671589195728302
167,limbaugh,0.333162397146225
234,author%3a%27workingoverload%27&amp;restrict_sr,0.3049736022949219
248,koch,0.30148375034332275
260,and](https://leanleft.com/2016/03/21,0.2989147901535034
