,term,1
3,rosenstein,0.6112485527992249
8,bharara,0.5925926566123962
14,yate,0.5288769006729126
15,flynn,0.5282144546508789
16,preet,0.5234127044677734
17,mccabe,0.5176597833633423
18,nunes,0.5160468816757202
25,schneiderman,0.4992027282714844
27,comey,0.4962730407714844
29,zarrab,0.4906425178050995
30,nune,0.48712992668151855
31,mcgahn,0.4747370183467865
33,rod,0.4687754511833191
36,starr,0.4616415798664093
42,chaffetz,0.44835028052330017
45,strzok,0.44317370653152466
48,pagliano,0.43839991092681885
50,giuliani,0.43484583497047424
54,petraeus,0.42580828070640564
61,yates,0.4157428443431854
62,scaramucci,0.4099067747592926
75,kushner,0.39713096618652344
77,sally,0.38847142457962036
83,kasowitz,0.38243988156318665
84,priebus,0.380214124917984
87,vance,0.37576213479042053
89,reza,0.37363821268081665
92,wray,0.37201517820358276
94,trump,0.3696434199810028
97,papadopoulos,0.3666791319847107
103,rudy,0.36223870515823364
122,lynch,0.347934752702713
129,loretta,0.3411426842212677
141,gowdy,0.33553817868232727
143,manafort,0.3339053690433502
152,intelligence](https://www.nytimes.com/2017/01/19,0.33132660388946533
154,mcmaster,0.3296174705028534
166,sater,0.32169583439826965
168,mattis,0.32130783796310425
171,huma,0.32055503129959106
174,gardaí,0.31921449303627014
175,woolsey,0.31882965564727783
177,investigation.html,1.2979565
179,weiner,0.31720492243766785
184,oleg,0.3122715353965759
194,boente,0.30948367714881897
202,pompeo,0.3051533102989197
205,robert,0.3045501708984375
206,gao,0.30441775918006897
212,trey,0.3029804229736328
227,bannon,0.29560405015945435
228,motion,0.295553058385849
235,firtash,0.2915017902851105
236,sekulow,0.2906652092933655
238,schiff,0.28955453634262085
240,rogers,0.28911343216896057
244,schmidt,0.28760796785354614
247,prevezon,0.2873314321041107
262,jared,0.283195823431015
265,zelaya,0.28139573335647583
266,papadopolous,0.2812579274177551
270,abedin,0.28076547384262085
282,gorsuch,0.27802976965904236
289,kilimnik,0.27698326110839844
293,gonzales,0.2758772075176239
294,gt;trump,0.2758411467075348
295,devin,0.2752518355846405
296,plame,0.2748900353908539
300,foxx,0.2742488980293274
,sand,
,fanboy.html,
,ties.html,
mooch,
